"OBJECTID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT_NAME","FIRE_YEAR","Month","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","FIPS_NAME"
480332,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"March","Human","Debris and open burning","",1503,3.5,"B",39.605,-75.92778001,"PRIVATE","MD","Cecil County"
480333,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"March","Human","Debris and open burning","",1530,0.3,"B",39.54250002,-78.52054997,"PRIVATE","MD","Allegany County"
480334,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"March","Human","Misuse of fire by a minor","Minor",1756,0.1,"A",39.53556001,-76.31972999,"PRIVATE","MD","Harford County"
480335,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"March","Human","Debris and open burning","",1645,0.3,"B",39.60583,-78.94805998,"PRIVATE","MD","Allegany County"
480336,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Railroad operations and maintenance","",1521,0.5,"B",39.51111001,-79.20804998,"PRIVATE","MD","Garrett County"
480337,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Equipment and vehicle use","",1430,0.9,"B",39.52610998,-79.32639001,"PRIVATE","MD","Garrett County"
480338,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1530,0.1,"A",39.53304999,-79.36110998,"PRIVATE","MD","Garrett County"
480339,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"April","Human","Debris and open burning","",1500,1.5,"B",38.42556002,-76.83360999,"PRIVATE","MD","Charles County"
480340,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"April","Human","Debris and open burning","",1410,0.1,"A",39.64912001,-76.03991997,"PRIVATE","MD","Cecil County"
480341,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"April","Human","Missing data/not specified/undetermined","",1422,0.2,"A",38.47,-76.84333,"PRIVATE","MD","Charles County"
480342,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",2150,0.1,"A",39.68139,-78.08778002,"PRIVATE","MD","Washington County"
480343,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Southern Maryland District",2018,"April","Human","Recreation and ceremony","",2130,0.1,"A",38.65027998,-76.86527998,"MUNICIPAL/LOCAL","MD","Charles County"
480344,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Central Maryland District",2018,"April","Human","Smoking","",1800,17.7,"C",39.61201,-76.64327997,"STATE","MD","Baltimore County"
480345,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Recreation and ceremony","",1523,2.8,"B",39.41667001,-77.66666001,"STATE","MD","Washington County"
480346,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Debris and open burning","",1313,0.1,"A",39.33332998,-77.62499997,"PRIVATE","MD","Washington County"
480347,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Arson/incendiarism","",1500,0.7,"B",39.61665999,-77.66666001,"MUNICIPAL/LOCAL","MD","Washington County"
480348,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Eastern Maryland District",2018,"April","Human","Arson/incendiarism","",1900,0.2,"A",38.38360999,-75.61610997,"PRIVATE","MD","Wicomico County"
480349,"NONFED","ST-NASF","Maryland Department of Natural Resources Forest Service","MDS Western Maryland District",2018,"April","Human","Smoking","",1315,0.1,"A",39.59999997,-78.76667001,"PRIVATE","MD","Allegany County"
